Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-3157.236	-3373.889	216.6529	0.9951985	2.694053
6	-3155.088	-3373.609	218.5204	1.649577	0.8650867
12	-3336.169	-3552.862	216.6933	0.9909055	2.671823
18	-2742.116	-2959.116	217.0007	2.876679	1.156663
24	-2704.904	-2921.685	216.7813	3.095998	1.156663
30	-3416.752	-3633.455	216.7029	0.6434169	2.877955
36	-3032.975	-3251.108	218.133	1.74434	1.1567
42	-3120.012	-3337.922	217.9097	1.627959	1.433958
48	-2798.32	-3013.956	215.6361	3.595484	1.660222
54	-3226.413	-3444.072	217.6591	1.572489	1.660222
60	-2827.062	-3042.886	215.8235	4.502831	0.3952141
66	-2901.253	-3117.315	216.0626	2.43711	2.15707
72	-2946.263	-3163.04	216.777	1.722688	2.15707
78	-3794.459	-4013.133	218.6739	0.9656987	1.354463
84	-3015.735	-3232.728	216.9925	1.493331	2.166141
90	-2687.909	-2904.729	216.82	2.782833	1.383424
96	-2823.859	-3041.301	217.4417	2.760114	0.8261976
102	-2865.334	-3082.91	217.5756	2.760114	0.5955909
108	-2806.887	-3024.794	217.9068	2.428911	0.5955909
114	-2858.84	-3075.948	217.1079	3.217973	0.623135
120	-3058.624	-3276.329	217.7044	2.624653	0.4004982
126	-2771.68	-2988.702	217.0219	2.262812	1.622049
132	-2797.402	-3014.584	217.1817	3.163582	0.444178
138	-2955.621	-3173.22	217.599	1.958043	1.419048
144	-2812.461	-3024.375	211.9144	1.847036	4.940581
150	-2910.659	-3127.596	216.9365	1.847036	1.969738
156	-2912.502	-3129.773	217.2707	1.847036	1.740909
162	-2948.459	-3165.452	216.9936	1.68542	2.039382
168	-2912.899	-3130.105	217.2053	1.824005	1.802492
174	-2819.445	-3036.254	216.8087	2.529651	1.583056
180	-2798.675	-3015.132	216.4573	3.881557	0.5854215
186	-2731.34	-2948.554	217.2144	2.941181	0.8819644
192	-2953.454	-3170.325	216.8707	3.177459	0.204227
198	-3030.871	-3247.707	216.8359	3.212269	0.204227
204	-2784.081	-3000.369	216.2883	2.631523	1.877662
210	-2758.363	-2974.296	215.9335	2.986335	1.877662
216	-2763.175	-2979.541	216.366	2.256777	2.076502
222	-2757.538	-2974.008	216.4698	2.256777	2.007789
228	-3094.838	-3310.904	216.0667	0.8419816	3.140382
234	-2871.276	-3087.678	216.4017	1.734738	2.389995
240	-2724.731	-2940.794	216.063	3.837061	1.13655
246	-2913.806	-3131.364	217.5582	1.547833	1.749065
252	-2722.513	-2939.14	216.6268	3.53541	0.874221
258	-2801.922	-3019.518	217.5957	1.692499	1.61952
264	-3060.818	-3279.022	218.2043	1.410512	1.374052
270	-2889.437	-3107.378	217.9407	1.674122	1.374052
276	-2845.608	-3063.387	217.7792	2.570843	0.4695361
282	-2713.669	-2928.67	215.0013	5.077076	0.9661535
288	-2732.015	-2949.04	217.0251	3.053285	0.9661535
294	-2763.406	-2978.672	215.2664	1.940865	2.961856
300	-3063.595	-3281.09	217.4955	1.056915	2.122679
306	-2718.705	-2936.188	217.4824	2.673527	0.8815675
312	-3010.888	-3228.191	217.3026	1.284905	2.099708
318	-2681.101	-2893.017	211.9158	2.539173	4.552941
324	-2879.433	-3096.731	217.2986	2.990786	0.3432717
330	-2929.897	-3147.712	217.8157	1.984599	1.223132
336	-2726.386	-2942.094	215.7077	4.250141	1.083921
342	-3095.347	-3313.564	218.2174	1.639588	1.174486
348	-3179.546	-3394.981	215.4345	0.6747919	3.609743
354	-3213.343	-3431.938	218.5947	1.484258	0.9655786
360	-2759.454	-2976.884	217.4306	2.165176	1.388967
366	-2920.523	-3138.363	217.8396	2.030715	1.162855
372	-2939.39	-3155.955	216.5653	1.537385	2.411332
378	-2813.472	-3031.068	217.5963	2.640459	0.7799
384	-2833.998	-3052.024	218.0261	2.127478	0.8843185
